init done.	0
疫情	200051	0.679
北京	46190	0.672
例	38268	0.401
新冠	35960	0.678
肺炎	35660	0.516
防控	33256	0.711
病例	30817	0.515
中国	30380	0.867
…	30168	0.716
工作	27179	0.708
想	25988	0.720
真的	24465	0.742
确诊	24117	0.414
时	22513	0.394
链接	22459	0.734
网页	21033	0.745
美国	20842	0.870
中	20529	0.830
2020	19811	0.628
　	19607	0.779
爱	18915	0.895
希望	18172	0.774
时间	18109	0.734
做	17574	0.799
没	17444	0.635
期间	17207	0.583
喜欢	16968	0.865
新增	16080	0.359
情况	15006	0.393
24	14878	0.225
更	13942	0.829
新	13784	0.860
国家	13691	0.835
影响	13285	0.754
全球	13091	0.819
口罩	12401	0.516
健康	12308	0.687
新型	12289	0.303
生活	12045	0.869
报告	11936	0.383
经济	11850	0.908
吃	11579	0.639
累计	11476	0.391
冠状病毒	11283	0.256
~	11121	0.911
结束	10840	0.637
10	10720	0.549
发展	10517	0.928
输入	10428	0.344
武汉	10312	0.616
