0	微博正文
1	#那些年你听过薛之谦的歌#《方圆几里》我的爱扩散在方圆几里我的心要不回就送你，只要你转身我就在这里生活为什么这么多苦难，我的谦谦啊！这个世界就让你失望的，你却想让他和平！每想到在你还小的时候就妈妈没有陪伴在之后的生活中让那些女孩儿们一次次的伤深情的绅士不应该在你的身上我想在方圆几里刚刚好的位置对你说我是谦友谦友一直在～～😘
2	#易烊千玺#【XXXX-】知命不惧，日日自新XXXX-O网页链接☀︎O网页链接✔︎O网页链接♥︎
0	微博正文
3	【第二届全国公安“百佳刑警”推选结果揭晓】12月10日晚，第二届“热血铸剑·丹心卫民”全国公安“百佳刑警”推选宣传活动结果揭晓。经各地公安机关推荐、网上点赞和专家评审，北京市公安局刑侦总队七支队副支队长李庆春等100名同志当选全国公安“百佳刑警”，北京市公安局西城分局刑侦支队技术大队政委贾雪峰等49名同志获得全国公安“百佳刑警”提名奖。#百佳刑警#O第二届全国公安“百佳刑警”推选结果揭晓
4	【北京#西城大爷发长文鼓励成都确诊女孩#：周围言论没必要放心上，听医生话配合治疗】今年6月，“西城大爷”是北京疫情首例确诊患者，感染后准确回忆出活动轨迹，为相关部门提供重要信息。10日，“西城大爷”发文鼓励成都确诊女孩赵某某：周围复杂言论没必要放在心上，听医生的话配合治疗一定没问题。
5	#北京世纪坛医院#我真他妈又一次对你们医院折服了.我尼玛约的好好的10:30CT，下一个就是我了，结果这医生就告诉我CT1出问题让我换CT3科室.我真的我想不出来什么词儿骂了，我全公司的人都在等着我回去开会，你就给我来个让我换CT3多等一个钟头.中国有了你们丫就好不了草.
6	#好人365#【16年坚持义务为路人指路带动一批人传承志愿服务精神】谢亮是北京的一位离休干部，也是有名的“京城指路大王”，是志愿者的楷模。从2001年9月开始，他举着自制的“义务指路”牌子在东直门义务为过往行人指路，成立义务指路队，自编了3本指路手册更有效地帮助行人，甚至坚持从音标、单词开始苦学英语，学会了用简单的英语为外国人指路。如今，谢亮老人已离去，义务指路队仍在继续为行人服务。谢亮曾说：“指路队一定要将帮助别人、快乐自己的志愿服务精神传承下去。”O16年坚持义务为路人指路带动一批人传承志愿服务精神
7	国际化志愿服务【#北京#地铁宣武门站B1口、积水潭站D口本周日起陆续封闭】12月10日，据@北京地铁消息，为配合车站改造施工，根据北京市交通委员会批复，2020年12月13日（周日）首班车起至另行通知时止，2号线宣武门站B1口封闭；2020年12月18日（周五）首班车起至另行通知止，2号线积水潭站D口封闭。
8	#北京牙性龅牙矫正公立如何预约？北京牙性龅牙正畸如何选择医生？北京轻微龅牙矫正哪里做的好？北京轻微龅牙正畸有哪些医院？北京偏骨性龅牙矫正经验丰富的医生有哪些？#O北京整牙、牙齿矫正、口腔正畸医院医生测评！只找硬技术高口碑的医生
9	【研报存有问题，#中信建投被北京证监局采取责令改正措施#】北京证监局网站11月30日更新信息显示，北京证监局日前公布关于对中信建投证券股份有限公司采取责令改正措施的决定。经查，公司发布的某研究报告存在以下问题：一是研究依据不充分，研究报告参考资料为电子平台个人账户上传文章，未进行规范信息源确认，关键数据交叉验证不足，数据基础不扎实；二是研究方法不够专业谨慎，分析逻辑客观性不足，以预测数据和假设条件主观推定结论。公司应于收到本决定书之日起30日内向北京证监局提交书面整改报告。O网页链接（LS）
10	『晚安晚安🍃』北京时间23：59，十一月的最后一条微博晚安小奶牛们。为了梦想在努力的人啊，我在东师等你🍂20201107🐑东北师范大学🌴#晚安#🍂
11	#武汉流星#&@TFBOYS-王俊凯无法言喻我的心情！2019年11月01日，去往北京，去看你的首场演唱会。那天清晨，北京划过一颗流星。2020年11月30日，我在武汉，等到你出关后的自拍。今天夜晚，武汉落下一阵流星。💙喜欢你，真的好神奇好圆满。💙
12	#关晓彤摩登猫系大片#的确跟之前很不一样但是我还是会想到王牌对王牌里的，那个游戏，晓彤说：我还哟呵，上北京？哈哈哈哈挺逗的小姑娘
